Month,Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Wood Energy Consumed by the Industrial Sector,Waste Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Industrial Sector",Biomass Losses and Co-products in the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,"Fuel Ethanol, Excluding Denaturant, Consumed by the Transportation Sector",Biodiesel Consumed by the Transportation Sector,Biomass Energy Consumed by the Transportation Sector
1977 June,2.547,Not Available,Not Available,Not Available,105.308,Not Available,Not Available,Not Available,105.308,107.855,Not Available,Not Available,Not Available
1977 July,2.484,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,111.302,Not Available,Not Available,Not Available
1977 August,2.471,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,111.289,Not Available,Not Available,Not Available
1977 September,2.429,Not Available,Not Available,Not Available,105.308,Not Available,Not Available,Not Available,105.308,107.736,Not Available,Not Available,Not Available
1977 October,2.542,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,111.36,Not Available,Not Available,Not Available
1977 November,3.016,Not Available,Not Available,Not Available,105.308,Not Available,Not Available,Not Available,105.308,108.324,Not Available,Not Available,Not Available
1977 December,3.365,Not Available,Not Available,Not Available,108.818,Not Available,Not Available,Not Available,108.818,112.183,Not Available,Not Available,Not Available
1978 January,2.821,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.761,Not Available,Not Available,Not Available
1978 February,2.5,Not Available,Not Available,Not Available,107.43,Not Available,Not Available,Not Available,107.43,109.93,Not Available,Not Available,Not Available
1978 March,2.772,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.712,Not Available,Not Available,Not Available
1978 April,2.848,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,117.952,Not Available,Not Available,Not Available
1978 May,3.237,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,122.177,Not Available,Not Available,Not Available
1978 June,2.828,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,117.931,Not Available,Not Available,Not Available
1978 July,2.752,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.692,Not Available,Not Available,Not Available
1978 August,2.497,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.437,Not Available,Not Available,Not Available
1978 September,2.384,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,117.487,Not Available,Not Available,Not Available
1978 October,2.192,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.133,Not Available,Not Available,Not Available
1978 November,2.246,Not Available,Not Available,Not Available,115.103,Not Available,Not Available,Not Available,115.103,117.349,Not Available,Not Available,Not Available
1978 December,2.485,Not Available,Not Available,Not Available,118.94,Not Available,Not Available,Not Available,118.94,121.426,Not Available,Not Available,Not Available
1979 January,3.049,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.366,Not Available,Not Available,Not Available
1979 February,2.593,Not Available,Not Available,Not Available,107.77,Not Available,Not Available,Not Available,107.77,110.363,Not Available,Not Available,Not Available
1979 March,3.159,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.476,Not Available,Not Available,Not Available
1979 April,3.094,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,118.562,Not Available,Not Available,Not Available
1979 May,3.527,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.844,Not Available,Not Available,Not Available
1979 June,3.044,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,118.512,Not Available,Not Available,Not Available
1979 July,2.774,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.091,Not Available,Not Available,Not Available
1979 August,2.591,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,121.908,Not Available,Not Available,Not Available
1979 September,2.313,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,117.781,Not Available,Not Available,Not Available
1979 October,2.458,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,121.775,Not Available,Not Available,Not Available
1979 November,2.726,Not Available,Not Available,Not Available,115.468,Not Available,Not Available,Not Available,115.468,118.194,Not Available,Not Available,Not Available
1979 December,2.769,Not Available,Not Available,Not Available,119.317,Not Available,Not Available,Not Available,119.317,122.087,Not Available,Not Available,Not Available
1980 January,3.029,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,138.549,Not Available,Not Available,Not Available
1980 February,2.56,Not Available,Not Available,Not Available,126.776,Not Available,Not Available,Not Available,126.776,129.336,Not Available,Not Available,Not Available
1980 March,2.914,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,138.433,Not Available,Not Available,Not Available
1980 April,3.083,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,134.231,Not Available,Not Available,Not Available
1980 May,3.457,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,138.976,Not Available,Not Available,Not Available
1980 June,3.312,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,134.46,Not Available,Not Available,Not Available
1980 July,2.924,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,138.443,Not Available,Not Available,Not Available
1980 August,2.452,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,137.971,Not Available,Not Available,Not Available
1980 September,2.214,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,133.362,Not Available,Not Available,Not Available
1980 October,2.14,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,137.659,Not Available,Not Available,Not Available
1980 November,2.301,Not Available,Not Available,Not Available,131.148,Not Available,Not Available,Not Available,131.148,133.449,Not Available,Not Available,Not Available
1980 December,2.451,Not Available,Not Available,Not Available,135.519,Not Available,Not Available,Not Available,135.519,137.97,Not Available,Not Available,Not Available
1981 January,3.048,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.979,0.571,Not Available,0.571
1981 February,2.576,Not Available,Not Available,Not Available,122.893,6.652,0.007,0.45,130.002,132.578,0.516,Not Available,0.516
1981 March,2.932,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.863,0.571,Not Available,0.571
1981 April,3.102,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,142.39,0.553,Not Available,0.553
1981 May,3.478,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,147.409,0.571,Not Available,0.571
1981 June,3.333,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,142.62,0.553,Not Available,0.553
1981 July,2.942,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.873,0.571,Not Available,0.571
1981 August,2.467,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.398,0.571,Not Available,0.571
1981 September,2.228,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,141.516,0.553,Not Available,0.553
1981 October,2.153,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.083,0.571,Not Available,0.571
1981 November,2.316,Not Available,Not Available,Not Available,131.671,7.128,0.007,0.482,139.288,141.603,0.553,Not Available,0.553
1981 December,2.466,Not Available,Not Available,Not Available,136.06,7.365,0.007,0.498,143.93,146.396,0.571,Not Available,0.571
1982 January,3.049,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,143.159,1.553,Not Available,1.553
1982 February,2.576,Not Available,Not Available,Not Available,116.296,9.029,0.016,1.211,126.551,129.127,1.403,Not Available,1.403
1982 March,2.932,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,143.042,1.553,Not Available,1.553
1982 April,3.103,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,138.693,1.503,Not Available,1.503
1982 May,3.479,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,143.589,1.553,Not Available,1.553
1982 June,3.333,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,138.923,1.503,Not Available,1.503
1982 July,2.943,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,143.053,1.553,Not Available,1.553
1982 August,2.468,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,142.578,1.553,Not Available,1.553
1982 September,2.228,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,137.819,1.503,Not Available,1.503
1982 October,2.153,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,142.263,1.553,Not Available,1.553
1982 November,2.316,Not Available,Not Available,Not Available,124.603,9.673,0.017,1.297,135.59,137.906,1.503,Not Available,1.503
1982 December,2.466,Not Available,Not Available,Not Available,128.756,9.996,0.017,1.341,140.11,142.576,1.553,Not Available,1.553
1983 January,3.068,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,162.267,2.864,Not Available,2.864
1983 February,2.593,Not Available,Not Available,Not Available,129.644,11.913,0.023,2.213,143.792,146.385,2.587,Not Available,2.587
1983 March,2.951,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,162.149,2.864,Not Available,2.864
1983 April,3.122,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,157.185,2.772,Not Available,2.772
1983 May,3.501,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,162.699,2.864,Not Available,2.864
1983 June,3.354,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,157.417,2.772,Not Available,2.772
1983 July,2.961,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,162.16,2.864,Not Available,2.864
1983 August,2.483,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,161.682,2.864,Not Available,2.864
1983 September,2.243,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,156.306,2.772,Not Available,2.772
1983 October,2.167,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,161.365,2.864,Not Available,2.864
1983 November,2.331,Not Available,Not Available,Not Available,138.904,12.763,0.025,2.371,154.063,156.394,2.772,Not Available,2.772
1983 December,2.482,Not Available,Not Available,Not Available,143.534,13.189,0.026,2.45,159.199,161.68,2.864,Not Available,2.864
1984 January,3.045,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,165.52,3.495,Not Available,3.495
1984 February,2.573,Not Available,Not Available,Not Available,133.036,16.13,0.041,2.786,151.993,154.566,3.27,Not Available,3.27
1984 March,2.928,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,165.404,3.495,Not Available,3.495
1984 April,3.099,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,160.332,3.382,Not Available,3.382
1984 May,3.474,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,165.949,3.495,Not Available,3.495
1984 June,3.329,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,160.562,3.382,Not Available,3.382
1984 July,2.939,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,165.414,3.495,Not Available,3.495
1984 August,2.464,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,164.939,3.495,Not Available,3.495
1984 September,2.226,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,159.459,3.382,Not Available,3.382
1984 October,2.15,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,164.625,3.495,Not Available,3.495
1984 November,2.313,Not Available,Not Available,Not Available,137.623,16.686,0.043,2.882,157.234,159.547,3.382,Not Available,3.382
1984 December,2.463,Not Available,Not Available,Not Available,142.21,17.242,0.044,2.978,162.475,164.938,3.495,Not Available,3.495
1985 January,3.047,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.918,4.224,Not Available,4.224
1985 February,2.575,Not Available,Not Available,Not Available,126.192,17.616,0.065,3.237,147.109,149.684,3.816,Not Available,3.816
1985 March,2.93,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.801,4.224,Not Available,4.224
1985 April,3.101,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,160.718,4.088,Not Available,4.088
1985 May,3.476,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,166.347,4.224,Not Available,4.224
1985 June,3.331,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,160.948,4.088,Not Available,4.088
1985 July,2.941,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.812,4.224,Not Available,4.224
1985 August,2.466,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.337,4.224,Not Available,4.224
1985 September,2.227,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,159.844,4.088,Not Available,4.088
1985 October,2.152,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.023,4.224,Not Available,4.224
1985 November,2.314,Not Available,Not Available,Not Available,135.205,18.874,0.07,3.468,157.617,159.931,4.088,Not Available,4.088
1985 December,2.465,Not Available,Not Available,Not Available,139.712,19.503,0.072,3.583,162.871,165.336,4.224,Not Available,4.224
1986 January,3.046,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.682,4.878,Not Available,4.878
1986 February,2.574,Not Available,Not Available,Not Available,123.507,19.616,0.069,3.705,146.897,149.471,4.406,Not Available,4.406
1986 March,2.93,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.566,4.878,Not Available,4.878
1986 April,3.1,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,160.49,4.721,Not Available,4.721
1986 May,3.476,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,166.112,4.878,Not Available,4.878
1986 June,3.33,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,160.72,4.721,Not Available,4.721
1986 July,2.94,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.576,4.878,Not Available,4.878
1986 August,2.466,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.101,4.878,Not Available,4.878
1986 September,2.227,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,159.616,4.721,Not Available,4.721
1986 October,2.151,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,164.787,4.878,Not Available,4.878
1986 November,2.314,Not Available,Not Available,Not Available,132.329,21.017,0.074,3.97,157.389,159.703,4.721,Not Available,4.721
1986 December,2.464,Not Available,Not Available,Not Available,136.74,21.717,0.076,4.102,162.635,165.1,4.878,Not Available,4.878
1987 January,3.039,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.587,5.612,Not Available,5.612
1987 February,2.568,Not Available,Not Available,Not Available,120.899,21.615,0.077,4.227,146.818,149.386,5.068,Not Available,5.068
1987 March,2.923,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.471,5.612,Not Available,5.612
1987 April,3.092,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,160.398,5.431,Not Available,5.431
1987 May,3.467,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,166.016,5.612,Not Available,5.612
1987 June,3.322,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,160.627,5.431,Not Available,5.431
1987 July,2.933,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.482,5.612,Not Available,5.612
1987 August,2.459,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.008,5.612,Not Available,5.612
1987 September,2.221,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,159.526,5.431,Not Available,5.431
1987 October,2.146,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,164.695,5.612,Not Available,5.612
1987 November,2.308,Not Available,Not Available,Not Available,129.534,23.159,0.083,4.529,157.305,159.614,5.431,Not Available,5.431
1987 December,2.458,Not Available,Not Available,Not Available,133.852,23.931,0.085,4.68,162.549,165.007,5.612,Not Available,5.612
1988 January,3.011,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,171.487,5.685,Not Available,5.685
1988 February,2.544,Not Available,Not Available,Not Available,128.757,24.381,0.074,4.394,157.606,160.151,5.319,Not Available,5.319
1988 March,2.896,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,171.372,5.685,Not Available,5.685
1988 April,3.064,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,166.105,5.502,Not Available,5.502
1988 May,3.436,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,171.911,5.685,Not Available,5.685
1988 June,3.292,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,166.333,5.502,Not Available,5.502
1988 July,2.906,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,171.382,5.685,Not Available,5.685
1988 August,2.437,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,170.913,5.685,Not Available,5.685
1988 September,2.201,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,165.242,5.502,Not Available,5.502
1988 October,2.126,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,170.602,5.685,Not Available,5.685
1988 November,2.287,Not Available,Not Available,Not Available,133.197,25.222,0.077,4.546,163.041,165.328,5.502,Not Available,5.502
1988 December,2.436,Not Available,Not Available,Not Available,137.637,26.063,0.079,4.697,168.476,170.911,5.685,Not Available,5.685
1989 January,2.242,0.153,0.002,No Data Reported,137.726,16.04,0.084,4.739,158.589,160.986,5.783,Not Available,5.783
1989 February,1.995,0.138,0.002,No Data Reported,126.626,14.613,0.076,4.28,145.594,147.729,5.223,Not Available,5.223
1989 March,2.426,0.153,0.003,No Data Reported,142.619,15.364,0.084,4.739,162.805,165.386,5.783,Not Available,5.783
1989 April,2.579,0.148,0.003,No Data Reported,128.396,15.412,0.081,4.586,148.475,151.205,5.597,Not Available,5.597
1989 May,3.005,0.153,0.003,No Data Reported,110.276,16.98,0.084,4.739,132.079,135.241,5.783,Not Available,5.783
1989 June,2.773,0.148,0.003,No Data Reported,119.518,16.578,0.081,4.586,140.763,143.687,5.597,Not Available,5.597
1989 July,2.429,0.153,0.004,No Data Reported,125.32,17.602,0.084,4.739,147.745,150.33,5.783,Not Available,5.783
1989 August,2.163,0.153,0.003,No Data Reported,140.355,17.416,0.084,4.739,162.594,164.913,5.783,Not Available,5.783
1989 September,2.027,0.148,0.003,No Data Reported,130.369,17.371,0.081,4.586,152.407,154.585,5.597,Not Available,5.597
1989 October,2.151,0.153,0.003,No Data Reported,137.115,17.98,0.084,4.739,159.917,162.223,5.783,Not Available,5.783
1989 November,2.27,0.148,0.002,No Data Reported,140.402,17.532,0.081,4.586,162.601,165.021,5.597,Not Available,5.597
1989 December,2.338,0.153,0.002,No Data Reported,144.842,17.518,0.084,4.739,167.182,169.675,5.783,Not Available,5.783
1990 January,2.573,0.161,0.002,No Data Reported,127.112,16.208,0.07,4.172,147.562,150.299,5.132,Not Available,5.132
1990 February,2.667,0.146,0.002,No Data Reported,125.588,14.711,0.063,3.769,144.131,146.946,4.635,Not Available,4.635
1990 March,3.061,0.161,0.003,No Data Reported,132.626,16.431,0.07,4.172,153.3,156.525,5.132,Not Available,5.132
1990 April,2.806,0.156,0.003,No Data Reported,125.688,15.78,0.068,4.038,145.574,148.539,4.966,Not Available,4.966
1990 May,2.965,0.161,0.004,No Data Reported,103.273,16.211,0.07,4.172,123.727,126.858,5.132,Not Available,5.132
1990 June,3.049,0.156,0.004,No Data Reported,76.215,15.959,0.068,4.038,96.28,99.489,4.966,Not Available,4.966
1990 July,2.617,0.161,0.004,No Data Reported,112.067,16.178,0.07,4.172,132.487,135.269,5.132,Not Available,5.132
